"","x"
"1","192"
"2","226"
"3","234"
"4","435"
"5","444"
"6","448"
"7","521"
"8","620"
"9","631"
"10","714"
"11","794"
"12","798"
"13","867"
"14","871"
"15","934"
"16","959"
"17","1102"
"18","1116"
"19","1140"
"20","1245"
"21","1256"
"22","1288"
"23","1313"
"24","1314"
"25","1336"
"26","1338"
"27","1394"
"28","1582"
"29","1705"
"30","1842"
"31","1844"
"32","1930"
"33","1975"
"34","2237"
"35","2245"
"36","2280"
"37","2290"
"38","2316"
"39","2418"
"40","2500"
"41","2525"
"42","2526"
"43","2588"
"44","2691"
"45","3043"
"46","3293"
"47","3362"
"48","3460"
"49","3490"
"50","3530"
"51","3628"
"52","3666"
"53","3673"
"54","3675"
"55","3711"
"56","3720"
"57","3759"
"58","3782"
"59","3794"
"60","4027"
"61","4112"
"62","4130"
"63","4136"
"64","4225"
"65","4239"
"66","4241"
"67","4254"
"68","4285"
"69","4319"
"70","4327"
"71","4386"
"72","4469"
"73","4472"
"74","4473"
"75","4489"
"76","4516"
"77","4561"
"78","4595"
"79","4606"
"80","4642"
"81","4681"
"82","4701"
"83","4730"
"84","4793"
"85","4802"
"86","4830"
"87","4840"
"88","4842"
"89","4865"
"90","4886"
"91","4922"
"92","4927"
"93","4968"
"94","5048"
"95","5049"
"96","5160"
"97","5173"
"98","5214"
"99","5217"
"100","5269"
"101","5282"
"102","5304"
"103","5577"
"104","5586"
"105","5739"
"106","5752"
"107","5795"
"108","6114"
"109","6127"
"110","6143"
"111","6207"
"112","6295"
"113","6330"
"114","6461"
"115","6613"
"116","6656"
"117","6773"
"118","6805"
"119","6890"
"120","6976"
"121","7022"
"122","7046"
"123","7244"
"124","7277"
"125","7338"
"126","7366"
"127","7562"
"128","7569"
"129","7728"
"130","7739"
"131","7757"
"132","7885"
"133","7907"
"134","7964"
"135","8053"
"136","8207"
"137","8242"
"138","8320"
"139","8394"
"140","8450"
"141","8741"
"142","8756"
"143","8788"
"144","8875"
"145","8912"
"146","8928"
"147","8966"
"148","9000"
"149","9024"
"150","9096"
"151","9098"
"152","9153"
"153","9222"
"154","9252"
"155","9329"
"156","9391"
"157","9465"
"158","9485"
"159","9518"
"160","9521"
"161","9784"
"162","9791"
"163","9873"
"164","9915"
"165","10003"
"166","10138"
"167","10220"
"168","10299"
"169","10431"
"170","10450"
"171","10465"
"172","10491"
"173","10497"
"174","10566"
"175","10751"
"176","10752"
"177","10851"
"178","11175"
"179","11216"
"180","11222"
"181","11242"
"182","11278"
"183","11526"
"184","11532"
"185","11721"
"186","11724"
"187","11758"
"188","11870"
"189","11917"
"190","11964"
"191","11983"
"192","12184"
"193","12259"
"194","12269"
"195","12284"
"196","12309"
"197","12316"
"198","12317"
"199","12350"
"200","12351"
"201","12403"
"202","12443"
"203","12526"
"204","12551"
"205","12583"
"206","12609"
"207","12631"
"208","12672"
"209","12673"
"210","12729"
"211","12801"
"212","12816"
"213","12837"
"214","12844"
"215","12875"
"216","12916"
"217","12945"
"218","12977"
"219","13075"
"220","13086"
"221","13095"
"222","13101"
"223","13103"
"224","13106"
"225","13125"
"226","13148"
"227","13152"
"228","13209"
"229","13226"
