"","x"
"1","226"
"2","435"
"3","934"
"4","1245"
"5","1256"
"6","1314"
"7","2290"
"8","2588"
"9","3293"
"10","3460"
"11","3720"
"12","4225"
"13","4239"
"14","4469"
"15","4472"
"16","4473"
"17","4489"
"18","4516"
"19","4561"
"20","4595"
"21","4681"
"22","4865"
"23","4927"
"24","4968"
"25","5269"
"26","5577"
"27","6207"
"28","6330"
"29","6976"
"30","7277"
"31","8756"
"32","8966"
"33","9000"
"34","9153"
"35","9252"
"36","9391"
"37","9485"
"38","9518"
"39","9784"
"40","9791"
"41","10299"
"42","10431"
"43","10752"
"44","10851"
"45","12269"
"46","12317"
"47","12350"
"48","12403"
"49","12875"
"50","13101"
"51","13148"
"52","13319"
"53","13380"
"54","13485"
"55","13848"
"56","13897"
"57","14180"
"58","14236"
"59","15138"
"60","15153"
"61","15157"
"62","15201"
"63","15204"
"64","15206"
"65","15278"
"66","15305"
"67","15310"
"68","15324"
"69","15410"
"70","15420"
"71","15440"
"72","15463"
"73","15468"
"74","15475"
"75","15481"
"76","15493"
"77","15514"
"78","15521"
"79","15588"
"80","15592"
"81","15672"
"82","15704"
"83","15710"
"84","15732"
"85","15756"
"86","15768"
"87","15774"
"88","15787"
"89","15791"
"90","15807"
"91","15816"
"92","15829"
"93","15839"
"94","15841"
"95","15844"
"96","15863"
"97","15887"
"98","15904"
"99","15921"
"100","15946"
"101","15994"
"102","16001"
"103","16039"
"104","16053"
"105","16058"
"106","16067"
"107","16094"
"108","16102"
"109","16122"
"110","16201"
"111","16260"
"112","16270"
"113","16284"
"114","16285"
"115","16319"
"116","16322"
"117","16330"
"118","16399"
"119","16416"
"120","16490"
"121","16503"
"122","16564"
"123","16577"
"124","16619"
"125","16633"
"126","16641"
"127","16648"
"128","16681"
"129","16691"
"130","16695"
"131","16714"
"132","16721"
"133","16737"
"134","16782"
"135","16849"
"136","16850"
"137","16893"
"138","16964"
"139","16973"
"140","17101"
"141","17148"
"142","17251"
"143","17262"
"144","17281"
"145","17383"
"146","17422"
"147","17424"
"148","17468"
"149","17530"
"150","17544"
"151","17633"
"152","17714"
"153","17781"
"154","17838"
"155","17841"
"156","17894"
"157","18028"
"158","18057"
"159","18074"
"160","18084"
"161","18125"
"162","18251"
"163","18413"
"164","18414"
"165","18505"
"166","18660"
"167","18733"
"168","18760"
"169","18883"
"170","18904"
"171","18923"
"172","18930"
"173","18960"
"174","19012"
"175","19014"
"176","19042"
"177","19446"
"178","19592"
"179","19617"
"180","19627"
"181","19656"
"182","19708"
"183","19748"
"184","19758"
"185","19764"
"186","19793"
"187","19797"
"188","19922"
"189","19925"
"190","19926"
"191","19947"
"192","20131"
"193","20264"
"194","20265"
"195","20308"
"196","20371"
"197","20615"
