"","x"
"1","7604"
"2","7605"
"3","7610"
"4","7612"
"5","7630"
"6","7632"
"7","7637"
"8","7658"
"9","7660"
"10","7670"
"11","7683"
"12","7690"
"13","7739"
"14","7742"
"15","7745"
"16","7746"
"17","7753"
"18","7760"
"19","7762"
"20","7766"
"21","7784"
"22","7846"
"23","7848"
"24","7852"
"25","7853"
"26","7858"
"27","7867"
"28","7915"
"29","7917"
"30","7932"
"31","7947"
"32","7949"
"33","7951"
"34","7955"
"35","7959"
"36","7965"
"37","7966"
"38","7968"
"39","7970"
"40","7976"
"41","7977"
"42","7980"
"43","7982"
"44","7994"
"45","7996"
"46","7998"
"47","8000"
"48","8002"
"49","8008"
"50","8010"
"51","8012"
"52","8014"
"53","8030"
"54","8032"
"55","8041"
"56","8046"
"57","8048"
"58","8049"
"59","8054"
"60","8055"
"61","8056"
"62","8065"
"63","8078"
"64","8082"
"65","8090"
"66","8131"
"67","8137"
"68","8140"
"69","8157"
"70","8158"
"71","8159"
"72","8170"
"73","8188"
"74","8205"
"75","8206"
"76","8209"
"77","8210"
"78","8211"
"79","8212"
"80","8213"
"81","8214"
"82","8248"
"83","8314"
"84","8322"
"85","8323"
"86","8324"
"87","8325"
"88","8328"
"89","8329"
"90","8330"
"91","8331"
"92","8332"
"93","8333"
"94","8335"
"95","8377"
"96","8380"
"97","8402"
"98","8403"
"99","8413"
"100","8415"
"101","8418"
"102","8422"
"103","8423"
"104","8427"
"105","8434"
"106","8440"
"107","8468"
"108","8476"
"109","8487"
"110","8488"
"111","8492"
"112","8515"
"113","8535"
"114","8536"
"115","8544"
"116","8545"
"117","8549"
"118","8596"
"119","8602"
"120","8607"
"121","8608"
"122","8609"
"123","8615"
"124","8617"
"125","8619"
"126","8631"
"127","8638"
"128","8640"
"129","8641"
"130","8646"
"131","8647"
"132","8648"
"133","8649"
"134","8654"
"135","8666"
"136","8668"
"137","8669"
"138","8673"
"139","8681"
"140","8702"
"141","8704"
"142","8705"
"143","8706"
"144","8716"
"145","8717"
"146","8733"
"147","8734"
"148","8743"
"149","8744"
"150","8762"
"151","8763"
"152","8764"
"153","8765"
"154","8771"
"155","8778"
"156","8803"
"157","8807"
"158","8816"
"159","8845"
"160","8850"
"161","8856"
"162","8862"
"163","8868"
"164","8880"
"165","8881"
"166","8887"
"167","8888"
"168","8889"
"169","8890"
"170","8892"
"171","8897"
"172","8898"
"173","8899"
"174","8901"
"175","8936"
"176","8960"
"177","8964"
"178","8967"
"179","8981"
"180","8985"
"181","8986"
"182","8987"
"183","9004"
"184","9010"
"185","9016"
"186","9042"
"187","9045"
"188","9046"
"189","9056"
"190","9060"
"191","9081"
"192","9086"
"193","9096"
"194","9103"
"195","9150"
"196","9152"
"197","9166"
"198","9202"
"199","9203"
"200","9210"
"201","9211"
"202","9214"
"203","9215"
"204","9216"
"205","9219"
"206","9234"
"207","9237"
"208","9241"
"209","9269"
"210","9298"
"211","9303"
"212","9316"
"213","9347"
"214","9351"
"215","9398"
"216","9434"
"217","9446"
"218","9448"
"219","9449"
"220","9455"
"221","9463"
"222","9467"
"223","9489"
"224","9495"
"225","9505"
"226","9514"
"227","9518"
"228","9519"
"229","9581"
"230","9591"
"231","9592"
"232","9593"
"233","9636"
"234","9640"
"235","9641"
"236","9642"
"237","9643"
"238","9644"
"239","9645"
"240","9648"
"241","9651"
"242","9667"
"243","9693"
"244","9717"
"245","9718"
"246","9729"
"247","9769"
"248","9815"
"249","9817"
"250","9825"
"251","9827"
"252","9838"
"253","9840"
"254","9845"
"255","9846"
"256","9847"
"257","9848"
"258","9850"
"259","9854"
"260","9856"
"261","9873"
"262","9883"
"263","9903"
"264","9905"
"265","9907"
"266","9909"
"267","9911"
"268","9913"
"269","9951"
"270","9955"
"271","9959"
"272","9963"
"273","9965"
"274","9966"
"275","9989"
"276","9991"
"277","10003"
"278","10007"
"279","10019"
"280","10020"
"281","10022"
"282","10029"
"283","10031"
"284","10033"
"285","10035"
"286","10037"
"287","10047"
"288","10053"
"289","10069"
"290","10073"
"291","10081"
"292","10087"
"293","10088"
"294","10089"
"295","10093"
"296","10114"
"297","10115"
"298","10121"
"299","10129"
"300","10134"
"301","10175"
"302","10178"
"303","10180"
"304","10182"
"305","10185"
"306","10205"
"307","10216"
"308","10222"
"309","10226"
"310","10252"
"311","10277"
"312","10285"
"313","10309"
"314","10326"
