19926,1,Jiawei Han
113755,1,Christos Faloutsos
19922,0,H. V. Jagadish
35465,1,Hans-Peter Kriegel
113162,0,Surajit Chaudhuri
15946,3,W. Bruce Croft
15481,2,Qiang Yang
7277,1,Wei Wang
37276,0,Michael Stonebraker
35663,0,Clement T. Yu
12269,0,Michael J. Carey
33521,0,Kian-Lee Tan
33519,0,Hongjun Lu
16695,1,Haixun Wang
19627,0,Elke A. Rundensteiner
87481,0,Jennifer Widom
39389,3,Wei-Ying Ma
19617,1,Ke Wang
34558,0,Jeffrey Xu Yu
33995,0,Yannis E. Ioannidis
26577,3,ChengXiang Zhai
34108,0,C. Mohan
97600,0,Yehoshua Sagiv
82135,0,Hamid Pirahesh
101467,1,Dimitrios Gunopulos
9485,0,Ling Liu
15493,2,Raymond J. Mooney
82733,0,Carlo Zaniolo
19592,0,Jeffrey D. Ullman
4473,2,Tuomas Sandholm
2588,1,Tao Li
17633,0,Dimitris Papadias
59383,0,S. Muthukrishnan
114417,0,Yufei Tao
16849,0,Georg Gottlob
85913,1,Martin Ester
33501,0,Alberto O. Mendelzon
29037,0,David B. Lomet
15807,2,Andrew W. Moore
15787,2,Andrew McCallum
113851,0,Wenfei Fan
18125,2,Charles X. Ling
12317,3,Yong Yu
85807,0,Bernhard Seeger
15468,2,Craig Boutilier
77756,0,Patrick Valduriez
34477,0,David Maier
18733,0,Nikos Mamoulis
6976,0,Guido Moerkotte
18251,0,Alon Y. Halevy
934,2,Thomas S. Huang
18074,1,Wynne Hsu
4561,2,Peter Stone
435,2,Takeo Kanade
78964,1,Mohammed Javeed Zaki
27110,3,Iadh Ounis
20265,2,Changshui Zhang
17101,2,Russell Greiner
4927,2,Yoav Shoham
260574,1,Xifeng Yan
38722,0,Victor Vianu
18505,1,Hiroshi Motoda
15710,2,Toby Walsh
113748,3,Mark Sanderson
77845,0,Sihem Amer-Yahia
19793,2,Zhi-Hua Zhou
16681,0,Ronald Fagin
113964,0,Luis Gravano
33972,0,Christian S. Jensen
30360,0,Daniela Florescu
16503,1,Chris H. Q. Ding
15206,0,Maurizio Lenzerini
10752,1,Shusaku Tsumoto
9252,1,Aoying Zhou
113647,0,Ahmed K. Elmagarmid
16564,3,Susan T. Dumais
16319,3,Barry Smyth
15475,2,Joseph Y. Halpern
113196,0,Samuel Madden
77800,0,Georges Gardarin
60018,3,Charles L. A. Clarke
260366,0,Flip Korn
113792,0,Doron Rotem
19446,1,Ronen Feldman
16850,3,Wolfgang Nejdl
4472,2,Vincent Conitzer
4225,1,Nick Cercone
260916,1,Spiros Papadimitriou
113807,1,Ben Kao
85853,0,Dirk Van Gucht
35523,1,Graham Cormode
35511,0,Ambuj K. Singh
